H,L,n,top1,top1_pct,mid1,mid1_pct,combo1,combo1_pct
14,13,17160,hi_sing,0.848951048951049,H_pair,0.603962703962704,hi_sing/H_pair,0.5231351981351982
14,12,17160,hi_sing,0.8411421911421911,H_pair,0.7657342657342657,hi_sing/H_pair,0.6396270396270396
14,11,17160,hi_sing,0.8086247086247086,H_pair,0.8378205128205128,hi_sing/H_pair,0.66497668997669
14,10,17160,hi_sing,0.8106060606060606,H_pair,0.6681818181818182,hi_sing/H_pair,0.5187062937062937
14,9,17160,hi_sing,0.8321095571095571,H_pair,0.5316433566433566,hi_sing/H_pair,0.418006993006993
14,8,17160,hi_sing,0.8530885780885781,H_pair,0.5015734265734266,hi_sing/L_pair,0.4486596736596737
14,7,17160,hi_sing,0.858041958041958,H_pair,0.524941724941725,hi_sing/L_pair,0.4282634032634033
14,6,17160,hi_sing,0.8499417249417249,H_pair,0.5765151515151515,hi_sing/H_pair,0.47016317016317016
14,5,17160,hi_sing,0.8257575757575758,H_pair,0.6185314685314686,hi_sing/H_pair,0.493006993006993
14,4,17160,hi_sing,0.7862470862470863,H_pair,0.5888694638694638,hi_sing/H_pair,0.44714452214452216
14,3,17160,hi_sing,0.7417832167832168,H_pair,0.5340909090909091,hi_sing/H_pair,0.38432400932400934
14,2,17160,hi_sing,0.7143939393939394,H_pair,0.48735431235431237,hi_sing/H_pair,0.3398018648018648
13,12,17160,hi_sing,0.8463286713286713,H_pair,0.5678904428904429,hi_sing/H_pair,0.47628205128205126
13,11,17160,hi_sing,0.818997668997669,H_pair,0.6851398601398602,hi_sing/H_pair,0.5452214452214452
13,10,17160,hi_sing,0.8374708624708624,L_pair,0.5506993006993007,hi_sing/L_pair,0.4818181818181818
13,9,17160,hi_sing,0.86002331002331,L_pair,0.6874125874125874,hi_sing/L_pair,0.6071095571095572
13,8,17160,hi_sing,0.8617715617715618,L_pair,0.7369463869463869,hi_sing/L_pair,0.646969696969697
13,7,17160,hi_sing,0.862062937062937,L_pair,0.7111888111888112,hi_sing/L_pair,0.6253496503496504
13,6,17160,hi_sing,0.8437645687645687,L_pair,0.6498251748251749,hi_sing/L_pair,0.5595571095571096
13,5,17160,hi_sing,0.8173076923076923,L_pair,0.5804195804195804,hi_sing/L_pair,0.48653846153846153
13,4,17160,hi_sing,0.7813519813519814,L_pair,0.4941142191142191,hi_sing/L_pair,0.4101981351981352
13,3,17160,hi_sing,0.7371794871794872,L_pair,0.3544871794871795,hi_sing/L_pair,0.29376456876456875
13,2,17160,hi_sing,0.6958624708624709,two_low_sings,0.33869463869463867,hi_sing/two_low_sings,0.3386363636363636
12,11,17160,hi_sing,0.8340326340326341,L_pair,0.5092657342657343,hi_sing/L_pair,0.43245920745920746
12,10,17160,hi_sing,0.8519230769230769,L_pair,0.7276806526806526,hi_sing/L_pair,0.625
12,9,17160,hi_sing,0.8657925407925408,L_pair,0.8337412587412587,hi_sing/L_pair,0.7254079254079254
12,8,17160,hi_sing,0.8657925407925408,L_pair,0.8645104895104895,hi_sing/L_pair,0.7504662004662005
12,7,17160,hi_sing,0.8495337995337995,L_pair,0.8534382284382285,hi_sing/L_pair,0.7256410256410256
12,6,17160,hi_sing,0.8294289044289044,L_pair,0.8076340326340327,hi_sing/L_pair,0.668939393939394
12,5,17160,hi_sing,0.8027389277389277,L_pair,0.7391608391608392,hi_sing/L_pair,0.5952797202797203
12,4,17160,hi_sing,0.7702214452214452,L_pair,0.6367715617715618,hi_sing/L_pair,0.5026806526806527
12,3,17160,hi_sing,0.7402680652680653,L_pair,0.473018648018648,hi_sing/L_pair,0.37226107226107225
12,2,17160,hi_sing,0.7086829836829837,two_low_sings,0.37226107226107225,hi_sing/two_low_sings,0.37214452214452215
11,10,17160,hi_sing,0.8321678321678322,L_pair,0.529020979020979,hi_sing/L_pair,0.4489510489510489
11,9,17160,hi_sing,0.8444638694638694,L_pair,0.7005244755244755,hi_sing/L_pair,0.5944638694638694
11,8,17160,hi_sing,0.8481351981351981,L_pair,0.7731934731934732,hi_sing/L_pair,0.6575174825174825
11,7,17160,hi_sing,0.8343240093240093,L_pair,0.7725524475524476,hi_sing/L_pair,0.6433566433566433
11,6,17160,hi_sing,0.8061188811188811,L_pair,0.7571678321678321,hi_sing/L_pair,0.600932400932401
11,5,17160,hi_sing,0.7821095571095571,L_pair,0.717016317016317,hi_sing/L_pair,0.5504079254079254
11,4,17160,hi_sing,0.7594988344988345,L_pair,0.653962703962704,hi_sing/L_pair,0.4952797202797203
11,3,17160,hi_sing,0.737937062937063,L_pair,0.521969696969697,hi_sing/L_pair,0.39283216783216784
11,2,17160,hi_sing,0.7287296037296037,two_low_sings,0.34265734265734266,hi_sing/two_low_sings,0.34248251748251746
10,9,17160,hi_sing,0.8348484848484848,H_pair,0.499009324009324,hi_sing/L_pair,0.4199300699300699
10,8,17160,hi_sing,0.8424242424242424,L_pair,0.5935897435897436,hi_sing/L_pair,0.5026806526806527
10,7,17160,hi_sing,0.8312937062937062,L_pair,0.5974358974358974,hi_sing/L_pair,0.49195804195804194
10,6,17160,hi_sing,0.8132284382284383,L_pair,0.5797785547785548,hi_sing/L_pair,0.45944055944055945
10,5,17160,hi_sing,0.7929487179487179,L_pair,0.5738927738927739,hi_sing/L_pair,0.43834498834498836
10,4,17160,hi_sing,0.7705128205128206,L_pair,0.5650932400932401,hi_sing/L_pair,0.4273892773892774
10,3,17160,hi_sing,0.7526223776223776,L_pair,0.4819347319347319,hi_sing/L_pair,0.3631118881118881
10,2,17160,hi_sing,0.7456293706293706,L_pair,0.3344988344988345,hi_sing/two_low_sings,0.25384615384615383
9,8,17160,hi_sing,0.8445804195804196,H_pair,0.5202797202797202,hi_sing/H_pair,0.4398601398601399
9,7,17160,hi_sing,0.8343822843822843,H_pair,0.5168414918414919,hi_sing/H_pair,0.4333916083916084
9,6,17160,hi_sing,0.8255827505827505,H_pair,0.5361305361305362,hi_sing/H_pair,0.4548368298368298
9,5,17160,hi_sing,0.8037878787878788,H_pair,0.5400349650349651,hi_sing/H_pair,0.448018648018648
9,4,17160,hi_sing,0.7901515151515152,H_pair,0.49801864801864804,hi_sing/H_pair,0.4023892773892774
9,3,17160,hi_sing,0.7688228438228438,H_pair,0.4505244755244755,hi_sing/H_pair,0.35262237762237764
9,2,17160,hi_sing,0.7516899766899767,H_pair,0.41876456876456875,hi_sing/H_pair,0.3241258741258741
8,7,17160,hi_sing,0.8272144522144522,H_pair,0.5326340326340326,hi_sing/H_pair,0.4441142191142191
8,6,17160,hi_sing,0.8168414918414918,H_pair,0.5805361305361305,hi_sing/H_pair,0.48793706293706296
8,5,17160,hi_sing,0.7994755244755245,H_pair,0.595979020979021,hi_sing/H_pair,0.4899184149184149
8,4,17160,hi_sing,0.7796620046620046,H_pair,0.5443473193473194,hi_sing/H_pair,0.4317016317016317
8,3,17160,hi_sing,0.7644522144522145,H_pair,0.5317016317016316,hi_sing/H_pair,0.4055361305361305
8,2,17160,hi_sing,0.7402097902097902,H_pair,0.48554778554778555,hi_sing/H_pair,0.35658508158508156
7,6,17160,hi_sing,0.7901515151515152,H_pair,0.5243006993006993,hi_sing/H_pair,0.4305944055944056
7,5,17160,hi_sing,0.7736013986013986,H_pair,0.5656177156177156,hi_sing/H_pair,0.45565268065268066
7,4,17160,hi_sing,0.7585664335664336,H_pair,0.5108391608391608,hi_sing/H_pair,0.3972027972027972
7,3,17160,hi_sing,0.7372377622377623,H_pair,0.484032634032634,hi_sing/H_pair,0.352972027972028
7,2,17160,hi_sing,0.7351981351981351,H_pair,0.5183566433566433,hi_sing/H_pair,0.369988344988345
6,5,17160,hi_sing,0.7392191142191142,H_pair,0.45536130536130537,hi_sing/H_pair,0.35355477855477857
6,4,17160,hi_sing,0.718997668997669,H_pair,0.4282634032634033,hi_sing/H_pair,0.31258741258741257
6,3,17160,hi_sing,0.7118298368298368,H_pair,0.3949300699300699,hi_sing/H_pair,0.2726107226107226
6,2,17160,hi_sing,0.7072843822843823,H_pair,0.406993006993007,hi_sing/H_pair,0.2686480186480186
5,4,17160,hi_sing,0.6898601398601398,L_pair,0.35215617715617714,hi_sing/L_pair,0.25815850815850816
5,3,17160,hi_sing,0.6882284382284383,L_pair,0.30116550116550117,hi_sing/two_low_sings,0.2604312354312354
5,2,17160,hi_sing,0.689044289044289,two_low_sings,0.29597902097902096,hi_sing/two_low_sings,0.29597902097902096
4,3,17160,hi_sing,0.6847319347319347,L_pair,0.30594405594405594,hi_sing/two_low_sings,0.2768648018648019
4,2,17160,hi_sing,0.6906759906759907,two_low_sings,0.3205710955710956,hi_sing/two_low_sings,0.3205710955710956
3,2,17160,hi_sing,0.7004079254079254,two_low_sings,0.34632867132867134,hi_sing/two_low_sings,0.34632867132867134
